Folder,File,Spots,Area,DMax,Dmin,Smax,Smin,Garbage
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well2_Object2.tif_projection.tif,0,11639576,661.4024,110.0419,1819,126,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well1_Object4.tif_projection.tif,1,5042555,2362.7571,125.9414,1969,151,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well1_Object2.tif_projection.tif,489,1515167,12584.084,141.2762,2509,254,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well2_Object6.tif_projection.tif,7,10463116,1549.1947,127.4712,1848,157,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well4_Object1.tif_projection.tif,31,7595761,2527.1138,111.0442,1887,133,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well4_Object4.tif_projection.tif,0,11451702,584.117,114.7559,2052,130,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate001_Well1_Object1.tif_projection.tif,0,13455481,721.2783,108.9951,1989,113,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well3_Object2.tif_projection.tif,0,6983515,397.6721,111.6656,2033,136,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well3_Object5.tif_projection.tif,0,7059987,762.9282,110.5655,1631,121,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well1_Object3.tif_projection.tif,0,493406,213.945,139.2979,1247,169,
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well4_Object2.tif_projection.tif,7,14647822,3295.1917,114.0535,2136,111,
