Folder,File,Spots,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well4_Object4.tif_projection.tif,0,12531249,578.6296,111.9604,1485,114
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well4_Object3.tif_projection.tif,186,2139258,8204.5117,118.9614,4012,155
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well1_Object3.tif_projection.tif,6,7496764,2553.4321,121.2279,1700,141
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well4_Object0.tif_projection.tif,296,1079932,8280.957,116.0936,3290,230
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well1_Object2.tif_projection.tif,0,9821927,779.7269,119.1654,1799,135
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate000_Well3_Object7.tif_projection.tif,1,7692404,390.1548,126.5761,2642,169
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate004_Well2_Object5.tif_projection.tif,373,8851531,2939.3159,112.2697,2439,128
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well4_Object0.tif_projection.tif,0,17060342,618.4841,116.0991,1952,133
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well3_Object6.tif_projection.tif,8,7254418,2616.4756,114.1144,1887,118
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate005_Well2_Object0.tif_projection.tif,13,1428498,2397.353,125.5614,3859,193
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate007_Well3_Object0.tif_projection.tif,0,6820467,736.8275,110.6545,39254,121
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate003_Well2_Object0.tif_projection.tif,2,5539637,2975.301,124.4697,1912,130
S:\micro\asa\cgh\smc\20200303_3PO_ScreenA\20200302_150559_445/,Plate002_Well3_Object5.tif_projection.tif,2,6004949,1335.403,113.3599,2107,131
