,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
12081,20200122,WA,6724540.0,0.0,0.0,0.0,0.0,122,2020-01-22
12080,20200122,MA,6547629.0,0.0,0.0,0.0,0.015272704058217105,122,2020-01-22
12079,20200123,WA,6724540.0,0.0,0.0,0.0,0.0,123,2020-01-23
12078,20200123,MA,6547629.0,0.0,0.015272704058217105,0.0,0.03054540811643421,123,2020-01-23
12077,20200124,WA,6724540.0,0.0,0.0,0.0,0.0,124,2020-01-24
12076,20200124,MA,6547629.0,0.0,0.0,0.0,0.03054540811643421,124,2020-01-24
12075,20200125,WA,6724540.0,0.0,0.0,0.0,0.0,125,2020-01-25
12074,20200125,MA,6547629.0,0.0,0.0,0.0,0.03054540811643421,125,2020-01-25
12073,20200126,WA,6724540.0,0.0,0.0,0.0,0.0,126,2020-01-26
12072,20200126,MA,6547629.0,0.0,0.0,0.0,0.03054540811643421,126,2020-01-26
12071,20200127,WA,6724540.0,0.0,0.0,0.0,0.0,127,2020-01-27
12070,20200127,MA,6547629.0,0.0,0.015272704058217105,0.0,0.045818112174651315,127,2020-01-27
12069,20200128,WA,6724540.0,0.0,0.0,0.0,0.0,128,2020-01-28
12068,20200128,MA,6547629.0,0.0,0.0,0.0,0.045818112174651315,128,2020-01-28
12067,20200129,WA,6724540.0,0.0,0.0,0.0,0.0,129,2020-01-29
12066,20200129,MA,6547629.0,0.0,0.015272704058217105,0.0,0.06109081623286842,129,2020-01-29
12065,20200130,WA,6724540.0,0.0,0.0,0.0,0.0,130,2020-01-30
12064,20200130,MA,6547629.0,0.0,0.0,0.0,0.06109081623286842,130,2020-01-30
12063,20200131,WA,6724540.0,0.0,0.0,0.0,0.0,131,2020-01-31
12062,20200131,MA,6547629.0,0.0,0.0,0.0,0.06109081623286842,131,2020-01-31
12061,20200201,WA,6724540.0,0.0,0.0,0.0,0.0,201,2020-02-01
12060,20200201,MA,6547629.0,0.0,0.0,0.0,0.06109081623286842,201,2020-02-01
12059,20200202,WA,6724540.0,0.0,0.0,0.0,0.0,202,2020-02-02
12058,20200202,MA,6547629.0,0.0,0.0,0.0,0.06109081623286842,202,2020-02-02
12057,20200203,WA,6724540.0,0.0,0.0,0.0,0.0,203,2020-02-03
12056,20200203,MA,6547629.0,0.0,0.045818112174651315,0.0,0.10690892840751973,203,2020-02-03
12055,20200204,WA,6724540.0,0.0,0.0,0.0,0.0,204,2020-02-04
12054,20200204,MA,6547629.0,0.0,0.03054540811643421,0.0,0.13745433652395395,204,2020-02-04
12053,20200205,WA,6724540.0,0.0,0.0,0.0,0.0,205,2020-02-05
12052,20200205,MA,6547629.0,0.0,0.0,0.0,0.13745433652395395,205,2020-02-05
12051,20200206,WA,6724540.0,0.0,0.0,0.0,0.0,206,2020-02-06
12050,20200206,MA,6547629.0,0.0,0.015272704058217105,0.0,0.15272704058217104,206,2020-02-06
12049,20200207,WA,6724540.0,0.0,0.0,0.0,0.0,207,2020-02-07
12048,20200207,MA,6547629.0,0.0,0.0,0.0,0.15272704058217104,207,2020-02-07
12047,20200208,WA,6724540.0,0.0,0.0,0.0,0.0,208,2020-02-08
12046,20200208,MA,6547629.0,0.0,0.015272704058217105,0.0,0.16799974464038814,208,2020-02-08
12045,20200209,WA,6724540.0,0.0,0.0,0.0,0.0,209,2020-02-09
12044,20200209,MA,6547629.0,0.0,0.0,0.0,0.16799974464038814,209,2020-02-09
12043,20200210,WA,6724540.0,0.0,0.0,0.0,0.0,210,2020-02-10
