dapi_int,red_int,green_int
1111,822.37366,-174.51915
361.75,893.88135,341.994
327.5,945.0205,269.1532
864,945.92365,184.98035
557.25,954.1674,454.1177
352,956.88306,184.47787
402.25,972.9448,168.73752
129,982.6134,1289.6548
220,989.7458,1131.0957
446.75,991.3679,288.0402
555.25,996.79626,2370.0718
371.75,1034.2795,387.34686
244.25,1065.9565,153.85544
275.5,1076.9209,299.5261
188,1133.1913,102.188
242.75,1135.0237,815.7421
222.25,1155.1381,84.14894
35.25,1158.1808,203.38382
385.5,1160.1265,115.26495
679.75,1166.6649,498.97076
307,1181.9987,159.99408
211,1185.3553,492.7393
380.5,1206.4209,319.08313
623.5,1206.9563,265.09866
76.5,1216.9851,336.56055
249.25,1219.5433,1021.46045
361,1221.206,283.83475
244,1222.1694,293.29083
251.75,1232.5747,97.02691
546.75,1232.681,91.19191
94.25,1235.1768,111.56686
65.5,1248.0503,456.71075
93.75,1248.8971,140.94278
787,1261.7062,123.16088
33.25,1263.2946,128.5214
296.25,1270.7091,280.34686
271.5,1276.0739,372.2393
678.25,1289.103,311.2894
197.25,1295.7781,126.89143
457.25,1310.3794,798.3084
237.25,1319.0028,91.87863
26,1349.4814,157.24434
243.75,1362.7107,319.76813
371,1368.2557,80.707466
380.25,1368.6265,440.78876
566.5,1370.7897,141.8627
284.5,1382.7588,962.0767
809.25,1384.3058,1797.1146
122,1389.996,90.21697
71.75,1392.2622,762.7105
503,1392.5228,192.68759
277.75,1393.4006,83.861664
164.25,1399.0951,113.37617
141.25,1410.0377,1444.9396
103.5,1411.0433,426.9835
17.25,1411.6694,234.85095
766.25,1430.8501,240.3732
20.25,1434.3427,-44.439724
711.25,1442.811,156.00452
1.5,1449.728,81.60675
261.5,1457.8937,1286.333
213.25,1457.9622,175.74033
388.25,1461.5303,66.467354
580.5,1462.0612,788.7653
531.75,1466.3082,522.07446
395.5,1471.9257,92.79533
546.25,1473.1166,180.2217
1075,1481.2164,583.5439
354.5,1482.74,80.04276
559,1482.9193,77.38253
179.25,1487.419,77.187614
64.5,1487.5258,102.049225
12.75,1488.8944,337.23398
177.75,1490.6688,89.73649
338,1492.3248,164.47737
345,1492.7758,153.54082
1958.75,1493.0695,504.21957
123.5,1501.7015,888.0677
350.25,1509.8827,329.32736
75,1513.5881,-42.38102
433.75,1519.5743,168.12823
258.5,1519.6016,433.45557
589.5,1523.0542,195.35033
161.75,1524.5713,255.34544
52,1525.5125,283.4214
293.5,1525.9811,379.14355
371,1526.269,288.85822
313,1535.3375,150.65958
63.25,1537.7678,-82.18199
280.5,1538.5374,503.26578
162.75,1541.2052,120.332886
255,1542.373,104.84401
102.75,1546.9944,312.29065
104.5,1551.1948,1120.2787
107,1554.4838,1517.9679
36,1556.965,102.52113
66.75,1561.609,584.81226
157.75,1565.1926,365.8195
539.75,1568.3287,81.662834
1.75,1570.0514,520.4722
1376,1575.566,472.23407
74.5,1575.6447,495.7948
333.5,1579.7318,147.1209
975.25,1584.009,199.94984
91.75,1585.0492,1114.0089
186,1585.7684,113.254196
290,1591.7216,104.296684
64.25,1593.4459,93.33227
340.5,1605.3939,-54.902843
277.25,1608.0403,248.25111
92,1608.1127,94.63578
76,1609.089,603.64795
231,1617.1235,187.57974
255.25,1620.428,371.8749
330.5,1621.2147,265.8489
766.5,1635.2601,104.70308
749.5,1636.9244,640.8298
83.75,1638.0493,108.52558
98.5,1638.2926,146.21764
73.75,1641.63,180.40019
973.5,1647.0507,860.54034
131.5,1647.4486,133.8329
1006.75,1650.0408,108.79078
364.25,1652.6913,435.72852
202,1654.2986,110.90922
