,Unnamed: 0,Abstract,Authors,Journal,Link,Title,Year,LastAuthor,FirstAuthor,Lab,Author,Count,Team
0,0,"
    

    
      Histone H3 lysine 4 trimethylation (H3K4me3) is known to correlate with both active and poised genomic loci, yet many questions remain regarding its functional roles in vivo. We identify functional genomic targets of two H3K4 methyltransferases, Set1 and MLL1/2, in both the stem cells and differentiated tissue of the planarian flatworm Schmidtea mediterranea. We show that, despite their common substrate, these enzymes target distinct genomic loci in vivo, which are distinguishable by the pattern each enzyme leaves on the chromatin template, i.e., the breadth of the H3K4me3 peak. Whereas Set1 targets are largely associated with the maintenance of the stem cell population, MLL1/2 targets are specifically enriched for genes involved in ciliogenesis. These data not only confirm that chromatin regulation is fundamental to planarian stem cell function but also provide evidence for post-embryonic functional specificity of H3K4me3 methyltransferases in vivo.
    

    
  ","Duncan EM, Chitsazan AD, Seidel CW, Sánchez Alvarado A, ",Cell reports,http://www.ncbi.nlm.nih.gov/pubmed/26711341,Set1 and MLL1/2 Target Distinct Sets of Functionally Different Genomic Loci In Vivo,2015,Sánchez Alvarado A,Duncan EM,Sánchez,Seidel CW,15,AI and Genomics
1,20,"
    

    
      Neoblasts are an abundant, heterogeneous population of adult stem cells (ASCs) that facilitate the maintenance of planarian tissues and organs, providing a powerful system to study ASC self-renewal and differentiation dynamics. It is unknown how the collective output of neoblasts transit through differentiation pathways to produce specific cell types. The planarian epidermis is a simple tissue that undergoes rapid turnover. We found that as epidermal progeny differentiate, they progress through multiple spatiotemporal transition states with distinct gene expression profiles. We also identified a conserved early growth response family transcription factor, egr-5, that is essential for epidermal differentiation. Disruption of epidermal integrity by egr-5 RNAi triggers a global stress response that induces the proliferation of neoblasts and the concomitant expansion of not only epidermal, but also multiple progenitor cell populations. Our results further establish the planarian epidermis as a novel paradigm to uncover the molecular mechanisms regulating ASC specification in vivo. 
    

    
  ","Tu KC, Cheng LC, T K Vu H, Lange JJ, McKinney SA,A, Seidel CW, Sánchez Alvarado A, ",eLife,http://www.ncbi.nlm.nih.gov/pubmed/26457503,Egr-5 Is a Post-Mitotic Regulator of Planarian Epidermal Differentiation,2015,Sánchez Alvarado A,Tu KC,Sánchez,Seidel CW,15,AI and Genomics
2,35,"
    

    
      The Scc2-Scc4 complex is essential for loading the cohesin complex onto DNA. Cohesin has important roles in chromosome segregation, DSB repair, and chromosome condensation. Here we report that Scc2 is important for gene expression in budding yeast. Scc2 and the transcriptional regulator Paf1 collaborate to promote the production of Box H/ACA snoRNAs which guide pseudouridylation of RNAs including ribosomal RNA. Mutation of SCC2 was associated with defects in the production of ribosomal RNA, ribosome assembly, and splicing. While the scc2 mutant does not have a general defect in protein synthesis, it shows increased frameshifting and reduced cap-independent translation. These findings suggest Scc2 normally promotes a gene expression program that supports translational fidelity. We hypothesize that translational dysfunction may contribute to the human disorder Cornelia de Lange syndrome, which is caused by mutations in NIPBL, the human ortholog of SCC2. 
    

    
  ","Zakari M, Trimble Ross R, Peak A, Blanchette M, Seidel CW, Gerton JL, ",PLoS genetics,http://www.ncbi.nlm.nih.gov/pubmed/26176819,The SMC Loader Scc2 Promotes ncRNA Biogenesis and Translational Fidelity,2015,Gerton JL,Zakari M,Gerton,Seidel CW,15,AI and Genomics
3,41,"
    

    
      The clustered Hox genes, which are highly conserved across metazoans, encode homeodomain-containing transcription factors that provide a blueprint for segmental identity along the body axis. Recent studies have underscored that in addition to encoding Hox genes, the homeotic clusters contain key noncoding RNA genes that play a central role in development. In this study, we have taken advantage of genome-wide approaches to provide a detailed analysis of retinoic acid (RA)-induced transcriptional and epigenetic changes within the homeotic clusters of mouse embryonic stem cells. Although there is a general colinear response, our analyses suggest a lack of strict colinearity for several genes in the HoxA and HoxB clusters. We have identified transcribed novel noncoding RNAs (ncRNAs) and their cis-regulatory elements that function in response to RA and demonstrated that the expression of these ncRNAs from both strands represent some of the most rapidly induced transcripts in ES cells. Finally, we have provided dynamic analyses of chromatin modifications for the coding and noncoding genes expressed upon activation and suggest that active transcription can occur in the presence of chromatin modifications and machineries associated with repressed transcription state over the clusters. Overall, our data provide a resource for a better understanding of the dynamic nature of the coding and noncoding transcripts and their associated chromatin marks in the regulation of homeotic gene transcription during development. 
    

    
  ","De Kumar B, Parrish ME, Slaughter BD, Unruh JR, Gogol MM, Seidel CW, Paulson A, Li H, Gaudenz K, Peak A, McDowell W, Fleharty B, Ahn Y, Lin C, Smith E, Shilatifard A, Krumlauf R, ",Genome research,http://www.ncbi.nlm.nih.gov/pubmed/26025802,Analysis of Dynamic Changes in Retinoid-Induced Transcription and Epigenetic Profiles of Murine Hox Clusters in ES Cells,2015,Krumlauf R,De Kumar B,Krumlauf,Seidel CW,15,AI and Genomics
4,133,"
    

    
      A large population of proliferative stem cells (neoblasts) is required for physiological tissue homeostasis and post-injury regeneration in planarians. Recent studies indicate that survival of a few neoblasts after sublethal irradiation results in the clonal expansion of the surviving stem cells and the eventual restoration of tissue homeostasis and regenerative capacity. However, the precise mechanisms regulating the population dynamics of neoblasts remain largely unknown. Here, we uncovered a central role for epidermal growth factor (EGF) signaling during in vivo neoblast expansion mediated by Smed-egfr-3 (egfr-3) and its putative ligand Smed-neuregulin-7 (nrg-7). Furthermore, the EGF receptor-3 protein localizes asymmetrically on the cytoplasmic membrane of neoblasts, and the ratio of asymmetric to symmetric cell divisions decreases significantly in egfr-3(RNAi) worms. Our results not only provide the first molecular evidence of asymmetric stem cell divisions in planarians, but also demonstrate that EGF signaling likely functions as an essential regulator of neoblast clonal expansion.
    

    
  ","Lei K, Thi-Kim Vu H, Mohan RD, McKinney SA,A, Seidel CW, Alexander R, Gotting K, Workman JL, Sánchez Alvarado A, ",Developmental cell,http://www.ncbi.nlm.nih.gov/pubmed/27523733,Egf Signaling Directs Neoblast Repopulation by Regulating Asymmetric Cell Division in Planarians,2016,Sánchez Alvarado A,Lei K,Sánchez,Seidel CW,15,AI and Genomics
5,134,"
    

    
      The budding yeast E3 SUMO ligase Mms21, also known as Nse2, is a component of the Smc5/6 complex, which regulates sister chromatid cohesion, DNA replication, and repair. Our study shows that the mms21RINGΔ mutant exhibits (1) reduced ribosomal RNA production; (2) nuclear accumulation of ribosomal proteins; (3) elevated Gcn4 translation, indicating translational stress; and (4) upregulation of Gcn4 targets. Genes involved in ribosome biogenesis and translation are downregulated in the mms21RINGΔ mutant. We identified RPL19A as a novel genetic suppressor of the mms21RINGΔ mutant. Deletion of RPL19A partially suppresses growth defects in both smc5-6 and mms21RINGΔ mutants as well as nuclear accumulation of ribosome subunits in the mms21RINGΔ mutant. Deletion of a previously identified strong suppressor, MPH1, rescues both the accumulation of ribosome subunits and translational stress. This study suggests that the Smc5/6 complex supports nucleolar function.
    

    
  ","Kim DH, Harris B, Wang F, Seidel CW, McCroskey S, Gerton JL, ",Genetics,http://www.ncbi.nlm.nih.gov/pubmed/27510371,Mms21 SUMO Ligase Activity Promotes Nucleolar Function in Saccharomyces Cerevisiae,2016,Gerton JL,Kim DH,Gerton,Seidel CW,15,AI and Genomics
6,137,"
    

    
      The interrelationship between endogenous microbiota, the immune system, and tissue regeneration is an area of intense research due to its potential therapeutic applications. We investigated this relationship in Schmidtea mediterranea, a model organism capable of regenerating any and all of its adult tissues. Microbiome characterization revealed a high Bacteroidetes to Proteobacteria ratio in healthy animals. Perturbations eliciting an expansion of Proteobacteria coincided with ectopic lesions and tissue degeneration. The culture of these bacteria yielded a strain of Pseudomonas capable of inducing progressive tissue degeneration. RNAi screening uncovered a TAK1 innate immune signaling module underlying compromised tissue homeostasis and regeneration during infection. TAK1/MKK/p38 signaling mediated opposing regulation of apoptosis during infection versus normal tissue regeneration. Given the complex role of inflammation in either hindering or supporting reparative wound healing and regeneration, this invertebrate model provides a basis for dissecting the duality of evolutionarily conserved inflammatory signaling in complex, multi-organ adult tissue regeneration.
    

    
  ","Arnold CP, Merryman MS, Harris-Arnold A, McKinney SA,A, Seidel CW, Loethen S, Proctor KN, Guo L, Sánchez Alvarado A, ",eLife,http://www.ncbi.nlm.nih.gov/pubmed/27441386,Pathogenic Shifts in Endogenous Microbiota Impede Tissue Regeneration via Distinct Activation of TAK1/MKK/p38,2016,Sánchez Alvarado A,Arnold CP,Sánchez,Seidel CW,15,AI and Genomics
7,219,"
    

    
      Mutations that affect myelodysplasia/myeloid leukemia factor (MLF) proteins are associated with leukemia and several other cancers. However, with no strong homology to other proteins of known function, the role of MLF proteins in the cell has remained elusive. Here, we describe a proteomics approach that identifies MLF as a member of a nuclear chaperone complex containing a DnaJ protein, BCL2-associated anthanogene 2, and Hsc70. This complex associates with chromatin and regulates the expression of target genes. The MLF complex is bound to sites of nucleosome depletion and sites containing active chromatin marks (e.g., H3K4me3 and H3K4me1). Hence, MLF binding is enriched at promoters and enhancers. Additionally, the MLF-chaperone complex functions to regulate transcription factor stability, including the RUNX transcription factor involved in hematopoiesis. Although Hsc70 and other co-chaperones have been shown to play a role in nuclear translocation of a variety of proteins including transcription factors, our findings suggest that MLF and the associated co-chaperones play a direct role in modulating gene transcription.
    

    
  ","Dyer JO, Dutta A, Gogol MM, Weake VM, Dialynas G, Wu X, Seidel CW, Zhang Y, Florens L, Washburn MP, Abmayr SM, Workman JL, ",Journal of molecular biology,https://www.ncbi.nlm.nih.gov/pubmed/27984043,Myeloid Leukemia Factor Acts in a Chaperone Complex to Regulate Transcription Factor Stability and Gene Expression,2017,Workman JL,Dyer JO,Workman,Seidel CW,15,AI and Genomics
8,280,"
    

    
      Antimicrobial peptides act as a host defense mechanism and regulate the commensal microbiome. To obtain a comprehensive view of genes contributing to long-term memory we performed mRNA sequencing from single Drosophila heads following behavioral training that produces long-lasting memory. Surprisingly, we found that Diptericin B, an immune peptide with antimicrobial activity, is upregulated following behavioral training. Deletion and knock down experiments revealed that Diptericin B and another immune peptide, Gram-Negative Bacteria Binding Protein like 3, regulate long-term but not short-term memory or instinctive behavior in Drosophila. Interestingly, removal of DptB in the head fat body and GNBP-like3 in neurons results in memory deficit. That putative antimicrobial peptides influence memory provides an example of how some immune peptides may have been repurposed to influence the function of nervous system.
    

    
  ","Barajas-Azpeleta R, Wu J, Gill J, Welte R, Seidel CW, McKinney SA,, Dissel S, Si K, ",PLoS genetics,https://www.ncbi.nlm.nih.gov/pubmed/30312294,Antimicrobial Peptides Modulate Long-Term Memory,2018,Si K,Barajas-Azpeleta R,Si,Seidel CW,15,AI and Genomics
9,295,"
    

    
      ELL family transcription factors activate the overall rate of RNA polymerase II (Pol II) transcription elongation by binding directly to Pol II and suppressing its tendency to pause. In metazoa, ELL regulates Pol II transcription elongation as part of a large multisubunit complex referred to as the Super Elongation Complex (SEC), which includes P-TEFb and EAF, AF9 or ENL, and an AFF family protein. Although orthologs of ELL and EAF have been identified in lower eukaryotes including Schizosaccharomyces pombe, it has been unclear whether SEC-like complexes function in lower eukaryotes. In this report, we describe isolation from S. pombe of an ELL-containing complex with features of a rudimentary SEC. This complex includes S. pombe Ell1, Eaf1, and a previously uncharacterized protein we designate Ell1 binding protein 1 (Ebp1), which is distantly related to metazoan AFF family members. Like the metazoan SEC, this S. pombe ELL complex appears to function broadly in Pol II transcription. Interestingly, it appears to have a particularly important role in regulating genes involved in cell separation.
    

    
  ","Gopalan S, Gibbon DM, Banks CA, Zhang Y, Florens LA, Washburn MP, Dabas P, Sharma N, Seidel CW, Conaway RC, Conaway JW, ",Nucleic acids research,https://www.ncbi.nlm.nih.gov/pubmed/30102332,Schizosaccharomyces Pombe Pol II Transcription Elongation Factor ELL Functions as Part of a Rudimentary Super Elongation Complex,2018,Conaway JW,Gopalan S,Conaway,Seidel CW,15,AI and Genomics
